Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
13,DF,Hossein Kaebi,23 September 1985 (aged 20),44,Foolad
14,MF,Andranik Teymourian,6 March 1983 (aged 23),7,Abu Moslem
15,FW,Arash Borhani,14 September 1983 (aged 22),20,Pas
16,FW,Reza Enayati,23 September 1976 (aged 29),15,Esteghlal
17,FW,Javad Kazemian,23 April 1981 (aged 25),25,Persepolis
18,MF,Moharram Navidkia,1 November 1982 (aged 23),24,VfL Bochum
19,DF,Amir Hossein Sadeghi,6 September 1981 (aged 24),1,Esteghlal
20,DF,Mohammad Nosrati,11 January 1982 (aged 24),44,Pas
21,MF,Mehrzad Madanchi,10 January 1985 (aged 21),6,Persepolis
22,GK,Vahid Talebloo,26 May 1982 (aged 24),1,Esteghlal
23,MF,Masoud Shojaei,9 June 1984 (aged 22),3,Saipa
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Oswaldo Sánchez,21 September 1973 (aged 32),70,Guadalajara
2,DF,Claudio Suárez,17 December 1968 (aged 37),178,Chivas USA
3,DF,Carlos Salcido,2 April 1980 (aged 26),32,Guadalajara[37]
4,DF,Rafael Márquez ,13 February 1979 (aged 27),65,Barcelona
5,DF,Ricardo Osorio,30 March 1980 (aged 26),39,Cruz Azul[38]
6,MF,Gerardo Torrado,30 April 1979 (aged 27),56,Cruz Azul
7,MF,Sinha,23 May 1976 (aged 30),32,Toluca
8,MF,Pável Pardo,26 July 1976 (aged 29),125,América[39]
9,FW,Jared Borgetti,14 August 1973 (aged 32),75,Bolton Wanderers[40]
10,FW,Guillermo Franco,3 November 1976 (aged 29),7,Villarreal
11,MF,Ramón Morales,10 October 1975 (aged 30),46,Guadalajara
12,GK,José de Jesús Corona,26 January 1981 (aged 25),6,UAG
13,GK,Guillermo Ochoa,13 July 1985 (aged 20),1,América
14,DF,Gonzalo Pineda,19 October 1982 (aged 23),30,Guadalajara
15,DF,José Antonio Castro,11 August 1980 (aged 25),12,América
16,DF,Mario Méndez,1 June 1979 (aged 27),32,Monterrey
17,FW,Francisco Fonseca,2 October 1979 (aged 26),29,Cruz Azul[41]
18,MF,Andrés Guardado,28 September 1986 (aged 19),7,Atlas
19,FW,Omar Bravo,4 March 1980 (aged 26),33,Guadalajara
20,MF,Rafael García,14 August 1974 (aged 31),52,Atlas
21,MF,Jesús Arellano,8 May 1973 (aged 33),69,Monterrey
22,DF,Francisco Javier Rodríguez,20 October 1981 (aged 24),32,Guadalajara
23,MF,Luis Ernesto Pérez,12 January 1981 (aged 25),52,Monterrey
Portugal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ricardo,11 February 1976 (aged 30),49,Sporting CP
2,DF,Paulo Ferreira,18 January 1979 (aged 27),30,Chelsea
3,DF,Marco Caneira,9 February 1979 (aged 27),14,Valencia[42]
4,DF,Ricardo Costa,16 May 1981 (aged 25),3,Porto
5,DF,Fernando Meira,5 June 1978 (aged 28),30,VfB Stuttgart
6,MF,Costinha,1 December 1974 (aged 31),44,Dynamo Moscow[43]
7,MF,Luís Figo ,4 November 1972 (aged 33),120,Internazionale
8,MF,Petit,25 September 1976 (aged 29),36,Benfica
9,FW,Pauleta,28 April 1973 (aged 33),82,Paris Saint-Germain
10,MF,Hugo Viana,15 January 1983 (aged 23),21,Valencia
11,FW,Simão,31 October 1979 (aged 26),43,Benfica
12,GK,Quim,13 November 1975 (aged 30),24,Benfica
13,DF,Miguel,4 January 1980 (aged 26),28,Valencia
14,DF,Nuno Valente,12 September 1974 (aged 31),23,Everton
15,FW,Luís Boa Morte,4 August 1977 (aged 28),24,Fulham
16,DF,Ricardo Carvalho,18 May 1978 (aged 28),24,Chelsea
17,FW,Cristiano Ronaldo,5 February 1985 (aged 21),32,Manchester United
18,MF,Maniche,11 November 1977 (aged 28),31,Dynamo Moscow[44]
19,MF,Tiago,2 May 1981 (aged 25),22,Lyon
20,MF,Deco,27 August 1977 (aged 28),35,Barcelona
21,FW,Nuno Gomes,5 July 1976 (aged 29),53,Benfica
22,GK,Paulo Santos,11 December 1972 (aged 33),1,Braga
