edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,3,(2,3),Sweden ,Belgium,1954_SWITZERLAND_PR.htm,Stockholm.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,0,(0,0),Czechoslovakia,Romania ,1954_SWITZERLAND_PR.htm,Praha.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,3,(2,2),Norway,Saarland,1954_SWITZERLAND_PR.htm,Oslo.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,1,(2,0),Romania ,Bulgaria,1954_SWITZERLAND_PR.htm,BucureÅôti.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,8,0,(5,0),Mexico ,Haiti ,1954_SWITZERLAND_PR.htm,Mí©xico D.F.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,3,(0,2),Finland,Sweden ,1954_SWITZERLAND_PR.htm,Helsinki.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,4,0,(2,0),Sweden ,Finland,1954_SWITZERLAND_PR.htm,Stockholm.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,1,(1,1),Norway,Germany,1954_SWITZERLAND_PR.htm,Oslo.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,2,(0,2),Bulgaria,Czechoslovakia,1954_SWITZERLAND_PR.htm,Sofija.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,6,(1,4),Luxembourg ,France,1954_SWITZERLAND_PR.htm,Luxembourg.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,2,(2,0),Belgium,Finland,1954_SWITZERLAND_PR.htm,Bruxelles.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,9,1,(4,0),Austria,Portugal,1954_SWITZERLAND_PR.htm,Wien.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,3,(0,0),Northern Ireland,Scotland,1954_SWITZERLAND_PR.htm,Belfast.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,5,(0,2),Ireland,France,1954_SWITZERLAND_PR.htm,Dublin.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,0,(1,0),Belgium,Sweden ,1954_SWITZERLAND_PR.htm,Bruxelles.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,4,(1,1),Wales,England,1954_SWITZERLAND_PR.htm,Cardiff.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,0,(1,0),Germany,Saarland,1954_SWITZERLAND_PR.htm,Stuttgart.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,2,(1,1),Bulgaria,Romania ,1954_SWITZERLAND_PR.htm,Sofija.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,0,1,(0,1),Romania ,Czechoslovakia,1954_SWITZERLAND_PR.htm,BucureÅôti.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,4,0,(1,0),Ireland,Luxembourg ,1954_SWITZERLAND_PR.htm,Dublin.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,0,(0,0),Greece,Israel,1954_SWITZERLAND_PR.htm,Athí_na.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,3,(2,0),Scotland,Wales,1954_SWITZERLAND_PR.htm,Glasgow.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,0,0,(0,0),Saarland,Norway,1954_SWITZERLAND_PR.htm,Saarbrí_cken.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,0,0,(0,0),Czechoslovakia,Bulgaria,1954_SWITZERLAND_PR.htm,Bratislava.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,0,(1,0),Yugoslavia ,Israel,1954_SWITZERLAND_PR.htm,Skopje.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,3,1,(1,0),England,Northern Ireland,1954_SWITZERLAND_PR.htm,Liverpool.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,2,(1,0),Egypt,Italy,1954_SWITZERLAND_PR.htm,Cairo.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,5,1,(1,1),Germany,Norway,1954_SWITZERLAND_PR.htm,Hamburg.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,1,0,(0,0),France,Ireland,1954_SWITZERLAND_PR.htm,Paris.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,0,0,(0,0),Portugal,Austria,1954_SWITZERLAND_PR.htm,Lisboa.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,8,0,(4,0),France,Luxembourg ,1954_SWITZERLAND_PR.htm,Paris.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,0,4,(0,2),Haiti ,Mexico ,1954_SWITZERLAND_PR.htm,Port,au,Prince.,1953,,,,
1954,SWITZERLAND,PRELIMINARY,4,1,(1,1),Spain ,Turkey,1954_SWITZERLAND_PR_GD.htm#WC,54,I,1,Madrid.,1954,,,
1954,SWITZERLAND,PRELIMINARY,0,4,(0,2),United States,Mexico ,1954_SWITZERLAND_PR.htm,Mí©xico D.F.,1954,,,,,,
